INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
$6000 TO,1972,251,retired,282,40,268,Sales re,Verbatim,45,55,married,18,no,KEEPING,,,17,7,2,70,12,12,14,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,farm,SOUTH AT,DIFFEREN,ABOVE AV,2,0,0,0,2,0,4,2.84,5.14,7.96,3.81,4.97,43.4,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,252,WORKING,341,45,707,Gaming c,,28,18,separate,20,,,,,69,7,2,48,11,0,,,LT HIGH,LT HIGH,,,female,white,50000 TO,NEW ENGL,SAME CIT,BELOW AV,1,0,0,0,1,1,108,3.39,7.97,7.61,3.4,4.34,40.8,3.48,7.89,1.43,3.08,7.67,35.5,remove,NOT FIRE,favor,CAN TRUS
$8000 TO,1972,253,KEEPING,391,41,568,Word pro,Verbatim,37,29,married,17,no,"UNEMPL,",415,40,757,2,4,34,12,10,10,11,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,MIDDLE A,DIFFEREN,average,6,1,2,1,2,1,108,3.72,7.9,7.85,3.05,3.78,37.6,2.94,7.91,1.55,3.13,6.81,33.2,remove,fired,favor,Can't be
$6000 TO,1972,254,school,912,26,669,Cooks,Verbatim,33,24,NEVER MA,,,,,,149,1,0,19,12,5,10,,HIGH SCH,LT HIGH,LT HIGH,,male,white,50000 TO,NEW ENGL,SAME CIT,BELOW AV,5,0,1,0,4,2,108,3.28,7.68,1.64,3.6,6.4,30.2,7,8,4.3,2.38,3.91,30.3,NOT REMO,fired,favor,Can't be
,1972,255,WORKING,610,36,259,Inspecto,Verbatim,39,38,married,21,no,WORKING,394,36,369,1,0,52,8,0,0,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,NEW ENGL,SAME CIT,average,2,0,0,0,2,2,108,4.62,7.93,4.96,2.87,3.95,34.4,7,8,6.83,1.61,2.34,19.9,remove,NOT FIRE,favor,depends
$15000 T,1972,256,WORKING,522,41,67,Pipelaye,,43,50,married,20,no,KEEPING,395,36,,3,3,30,14,,15,12,HIGH SCH,,HIGH SCH,HIGH SCH,male,white,"COUNTRY,",NEW ENGL,"SAME ST,",average,5,1,2,0,2,1,108,3,7.81,1.25,3.91,7.28,43.4,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,257,WORKING,535,37,158,Sheet me,Verbatim,35,29,married,28,no,KEEPING,602,27,67,7,6,60,12,,,12,HIGH SCH,,,HIGH SCH,male,white,50000 TO,NEW ENGL,SAME CIT,BELOW AV,3,0,0,0,3,2,108,2.32,7.84,1.16,3.92,6.85,42.4,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,favor,CAN TRUS
$17500 T,1972,258,WORKING,55,51,907,First-li,Verbatim,46,54,married,29,no,WORKING,602,27,769,3,2,50,16,8,8,10,bachelor,LT HIGH,LT HIGH,LT HIGH,male,white,50000 TO,NEW ENGL,SAME CIT,ABOVE AV,3,0,0,1,2,3,108,1.3,6.66,7.55,4.96,6.84,59.5,4.74,6.47,3.2,3,3.12,24.2,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,259,WORKING,610,36,239,Inspecto,,39,38,widowed,21,no,,,,937,3,2,47,14,8,14,,HIGH SCH,LT HIGH,HIGH SCH,,female,white,50000 TO,NEW ENGL,SAME CIT,average,3,0,0,0,3,3,108,4.62,7.93,4.96,2.87,3.95,34.4,5.85,7.4,4.78,3.21,6.08,41.2,remove,fired,favor,CAN TRUS
$6000 TO,1972,260,KEEPING,,,,,No verba,,,married,18,no,WORKING,715,32,17,2,1,50,5,,3,12,LT HIGH,,LT HIGH,HIGH SCH,female,white,farm,E. SOU.,DIFFEREN,BELOW AV,3,0,1,0,2,1,745,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,CAN TRUS
LT $2000,1972,261,KEEPING,,,,,No verba,,,married,17,no,retired,633,28,,7,4,68,5,3,5,4,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,CITY GT,E. NOR.,SAME CIT,average,2,0,0,0,2,0,745,,,,,,,,,,,,,,fired,favor,Can't be
$8000 TO,1972,262,WORKING,680,40,219,"Welding,",,38,35,divorced,28,,,,,417,2,0,50,12,6,6,,HIGH SCH,LT HIGH,LT HIGH,,male,white,TOWN LT,E. NOR.,"SAME ST,",average,1,0,0,0,1,1,745,6.69,7.97,3.71,2.9,5.19,33.4,2.35,7.86,1.41,3.79,6.66,36.6,NOT REMO,fired,favor,Can't be
,1972,263,UNEMPL,283,29,609,Cashiers,Verbatim,28,16,separate,19,,,,,69,0,0,21,10,6,8,,LT HIGH,LT HIGH,LT HIGH,,male,white,CITY GT,E. NOR.,SAME CIT,BELOW AV,1,0,0,0,1,1,745,3.95,5.88,7.85,3.14,3.59,30.7,6.59,7.87,1.46,3.02,6.72,31.3,,,favor,Can't be
LT $2000,1972,264,KEEPING,,,,,No verba,,,married,17,no,retired,755,23,17,2,3,72,3,3,,3,LT HIGH,LT HIGH,,LT HIGH,female,white,"COUNTRY,",E. SOU.,DIFFEREN,BELOW AV,2,0,0,0,2,0,745,,,,,,,6.61,7.97,4.74,2.53,3.75,10.8,,,,Can't be
$4000 TO,1972,265,WORKING,903,16,358,Janitors,Verbatim,24,15,married,23,no,KEEPING,,,17,4,2,52,12,5,5,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. SOU.,DIFFEREN,BELOW AV,4,0,2,0,2,1,745,5.79,7.85,4.81,2.83,3.62,22.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,Can't be
$10000 T,1972,266,TEMP NOT,915,20,669,Waiters,,31,16,married,19,yes,WORKING,635,29,67,0,3,32,12,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,female,white,TOWN LT,E. NOR.,"SAME ST,",ABOVE AV,8,1,2,2,3,2,745,6.95,6.99,7.93,2.88,2.93,23.5,3.48,7.89,1.43,3.08,7.67,35.5,,,favor,Can't be
$10000 T,1972,267,WORKING,472,37,219,Industri,Verbatim,38,37,married,26,no,KEEPING,,,48,4,3,52,12,4,7,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,E. NOR.,"SAME ST,",FAR BELO,2,0,0,0,2,1,745,2.94,7.91,1.55,3.13,6.81,33.2,5.67,8,3.69,2.83,4.12,26.5,NOT REMO,fired,favor,Can't be
$4000 TO,1972,268,retired,385,40,448,Telephon,Verbatim,31,21,NEVER MA,,,,,,147,1,0,60,12,6,6,,HIGH SCH,LT HIGH,LT HIGH,,female,white,CITY GT,E. NOR.,SAME CIT,ABOVE AV,2,0,0,0,2,0,745,6.37,5.88,2.72,3.1,3.31,35.7,2.22,7.97,0.21,3.95,6.97,41.5,,fired,favor,CAN TRUS
$8000 TO,1972,269,WORKING,680,40,158,"Welding,",,38,35,married,25,no,WORKING,602,27,17,7,3,32,12,3,,12,LT HIGH,LT HIGH,,LT HIGH,male,black,TOWN LT,E. SOU.,DIFFEREN,BELOW AV,5,3,0,0,2,2,745,6.69,7.97,3.71,2.9,5.19,33.4,6.61,7.97,4.74,2.53,3.75,10.8,remove,fired,favor,Can't be
LT $2000,1972,270,retired,452,31,157,Inspecto,Verbatim,39,38,widowed,23,no,,,,268,5,0,60,9,,,,LT HIGH,,,,female,white,CITY GT,E. NOR.,SAME CIT,average,1,0,0,0,1,0,745,3.31,7.45,5.53,3.41,5.42,38.9,6.62,7.91,5.58,2.19,2.77,23.1,NOT REMO,fired,favor,CAN TRUS
LT $2000,1972,271,KEEPING,,,,,No verba,,,widowed,27,no,,,,17,3,1,80,7,8,8,,LT HIGH,LT HIGH,LT HIGH,,female,white,farm,E. NOR.,"SAME ST,",average,1,0,0,0,1,0,745,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$12500 T,1972,272,WORKING,715,32,779,Driver/s,,35,29,married,23,no,WORKING,381,23,17,5,0,58,8,4,3,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,black,TOWN LT,E. SOU.,DIFFEREN,average,4,0,0,2,2,2,745,6.87,7.95,3.13,2.94,3.33,29.1,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$10000 T,1972,273,WORKING,361,43,907,Postal s,Verbatim,45,46,married,23,no,WORKING,421,32,,7,6,36,12,,8,9,HIGH SCH,,LT HIGH,LT HIGH,female,black,TOWN LT,E. NOR.,"SAME ST,",BELOW AV,7,0,5,0,2,2,745,3.43,6.5,7.94,3.68,3.81,41.2,,,,,,,NOT REMO,fired,favor,Can't be
$12500 T,1972,274,WORKING,391,41,917,Word pro,Verbatim,37,29,married,23,no,WORKING,656,29,339,7,1,31,12,,12,11,HIGH SCH,,HIGH SCH,,female,black,CITY GT,E. NOR.,SAME CIT,average,3,0,1,0,2,2,745,3.72,7.9,7.85,3.05,3.78,37.6,4.19,7.6,7.07,3.02,3.62,32.3,NOT REMO,fired,favor,Can't be
$17500 T,1972,275,WORKING,56,56,417,Human re,,47,59,married,27,no,WORKING,391,41,17,6,1,30,16,6,8,13,bachelor,LT HIGH,LT HIGH,HIGH SCH,male,black,TOWN LT,E. SOU.,DIFFEREN,BELOW AV,3,1,0,0,2,2,745,1.42,3.83,8,4.86,6.61,58.3,1.69,5.45,7.06,4.69,6.61,53.7,NOT REMO,fired,favor,Can't be
$25000 T,1972,276,WORKING,245,50,448,Magers,Verbatim,39,42,married,19,no,WORKING,912,26,,2,2,63,16,,8,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,SAME CIT,BELOW AV,2,0,0,0,2,2,745,1.07,4.54,7.5,4.85,7.54,56.3,,,,,,,NOT REMO,fired,,Can't be
$15000 T,1972,277,WORKING,331,42,907,Postal s,Verbatim,45,51,married,23,no,WORKING,602,27,67,7,2,34,13,10,9,14,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,black,TOWN LT,E. SOU.,DIFFEREN,average,4,1,1,0,2,2,745,3.08,7.96,7.93,3.01,2.94,34.5,6.89,7.98,5.3,2.25,3.32,20.5,NOT REMO,NOT FIRE,favor,Can't be
$10000 T,1972,278,KEEPING,692,32,327,Uncodeab,,,,married,19,no,WORKING,715,32,838,1,3,29,12,8,10,10,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,E. NOR.,"SAME ST,",average,5,2,1,0,2,1,1,6.66,8,4.35,2.39,3.24,23.6,6.81,6.91,7.97,3.06,4.02,33.6,remove,fired,favor,Can't be
$8000 TO,1972,279,KEEPING,681,29,168,Electric,Verbatim,27,12,married,17,no,WORKING,780,17,69,7,5,36,5,7,,7,LT HIGH,LT HIGH,,LT HIGH,female,white,CITY GT,E. NOR.,"SAME ST,",BELOW AV,7,0,3,2,2,4,1,6.64,8,4,2.54,3.69,32.1,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,favor,CAN TRUS
$6000 TO,1972,280,KEEPING,,,,,No verba,,,married,25,no,WORKING,695,32,17,7,0,39,12,12,8,11,HIGH SCH,HIGH SCH,LT HIGH,LT HIGH,female,white,farm,E. NOR.,SAME CIT,average,2,0,0,0,2,2,1,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$4000 TO,1972,281,retired,801,41,17,"Farmers,",Verbatim,46,58,married,18,no,WORKING,690,32,17,2,5,73,8,,8,12,LT HIGH,,LT HIGH,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,average,3,0,0,0,3,1,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,CAN TRUS
$8000 TO,1972,282,WORKING,801,41,17,"Farmers,",,46,58,married,20,no,WORKING,902,12,17,1,3,38,10,8,,12,LT HIGH,LT HIGH,,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,BELOW AV,5,0,2,1,2,2,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,,fired,oppose,CAN TRUS
$12500 T,1972,283,WORKING,801,41,17,"Farmers,",Verbatim,46,58,married,18,yes,KEEPING,694,32,17,1,4,55,13,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,average,4,0,0,0,4,1,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,Can't be
$20000 T,1972,284,WORKING,801,41,17,"Farmers,",Verbatim,46,58,married,22,no,KEEPING,984,18,17,1,4,30,12,7,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,average,6,3,1,0,2,1,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,CAN TRUS
$2000 TO,1972,285,KEEPING,372,46,657,Secretar,,47,55,married,20,no,other,762,17,69,3,5,44,12,8,7,8,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,NEW ENGL,SAME CIT,average,6,0,2,1,3,0,88,2.98,6.03,7.98,4,5.98,47.7,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,286,KEEPING,611,18,779,Pressers,Verbatim,31,18,married,20,no,WORKING,703,32,389,5,5,43,8,8,8,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,NEW ENGL,SAME CIT,average,5,0,0,3,2,1,88,6.98,7.98,3.07,2.62,3.34,24.2,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,287,WORKING,374,29,417,Laborers,Verbatim,25,16,married,21,no,KEEPING,664,32,317,3,5,38,8,8,6,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,50000 TO,NEW ENGL,SAME CIT,average,7,0,3,2,2,1,88,4.19,7.6,7.07,3.02,3.62,32.3,6.35,7.92,4.72,2.33,3.28,22.9,NOT REMO,fired,favor,Can't be
$6000 TO,1972,288,KEEPING,674,29,307,Uncodeab,,,,married,22,no,WORKING,461,48,389,7,4,44,12,8,8,8,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,NEW ENGL,SAME CIT,ABOVE AV,6,0,1,2,3,2,88,6.35,7.92,4.72,2.33,3.28,22.9,6.64,7.85,5.13,1.91,2.91,20.2,remove,NOT FIRE,favor,CAN TRUS
LT $2000,1972,289,retired,230,39,609,First-li,Verbatim,38,29,widowed,20,no,,,,317,7,5,75,9,0,,,LT HIGH,LT HIGH,,,female,white,50000 TO,NEW ENGL,SAME CIT,FAR BELO,1,0,0,0,1,0,88,1.44,5.95,7.74,3.97,5.99,43.7,2,8,0,4,7,32.8,remove,fired,favor,Can't be
$17500 T,1972,290,WORKING,142,60,857,Elementa,Verbatim,61,85,married,21,no,WORKING,75,62,917,2,3,43,18,8,12,12,graduate,LT HIGH,HIGH SCH,HIGH SCH,male,white,50000 TO,SOUTH AT,DIFFEREN,average,4,0,1,1,2,2,88,1.97,2.03,8,4.99,6.14,63.6,,,,,,,NOT REMO,NOT FIRE,,Can't be
$8000 TO,1972,291,WORKING,602,27,208,Uncodeab,,,,married,18,no,WORKING,903,16,587,6,6,43,9,8,8,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,NEW ENGL,SAME CIT,average,6,0,1,2,3,2,7,6.65,8,4.59,2.42,3.24,30.3,1.36,5.38,7.77,4.37,6.63,49.7,remove,fired,favor,Can't be
$8000 TO,1972,292,WORKING,961,44,937,Firefigh,Verbatim,59,80,married,20,no,KEEPING,372,46,417,2,3,27,12,7,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,50000 TO,NEW ENGL,SAME CIT,average,5,3,0,0,2,1,7,5.85,7.4,4.78,3.21,6.08,41.2,6.87,7.95,3.13,2.94,3.33,29.1,NOT REMO,NOT FIRE,favor,Can't be
$10000 T,1972,293,WORKING,631,32,628,Butchers,Verbatim,28,19,married,26,no,KEEPING,651,29,67,1,4,58,10,8,6,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,50000 TO,NEW ENGL,SAME CIT,average,5,0,1,1,3,1,7,6.18,7.67,4.42,3.07,5.9,36.2,3.27,7.84,1.26,3.87,7.61,38.7,remove,,favor,CAN TRUS
$12500 T,1972,294,WORKING,331,42,907,Postal s,,45,51,married,23,no,WORKING,330,41,627,2,7,45,12,7,4,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,MIDDLE A,SAME CIT,ABOVE AV,10,1,0,4,5,6,4,3.08,7.96,7.93,3.01,2.94,34.5,1.05,5.5,8,4.16,7.05,45.6,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,295,WORKING,280,34,587,Retail s,Verbatim,31,18,married,20,no,WORKING,690,32,639,2,2,31,12,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,TOWN LT,MIDDLE A,SAME CIT,average,4,0,2,0,2,2,4,3.53,5.62,7.86,3.4,4.1,37.5,2.35,7.86,1.41,3.79,6.66,36.6,remove,fired,oppose,CAN TRUS
$6000 TO,1972,296,other,925,36,838,"Nursing,",Verbatim,48,50,married,19,no,"UNEMPL,",694,32,48,1,3,23,12,7,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,female,white,TOWN LT,MIDDLE A,,BELOW AV,5,3,0,0,2,1,4,6.81,6.91,7.97,3.06,4.02,33.6,6.42,7.86,5.21,2.41,3.35,16.8,remove,fired,favor,CAN TRUS
$4000 TO,1972,297,retired,710,27,48,Uncodeab,,,,widowed,28,no,,,,48,5,0,69,7,3,3,,LT HIGH,LT HIGH,LT HIGH,,male,white,TOWN LT,MIDDLE A,,BELOW AV,1,0,0,0,1,1,4,6.24,7.49,3.26,2.75,4.46,26.4,5.67,8,3.69,2.83,4.12,26.5,NOT REMO,fired,favor,Can't be
$2000 TO,1972,298,UNEMPL,612,26,278,Crushing,Verbatim,27,16,separate,21,,,,,48,1,1,35,8,3,,,LT HIGH,LT HIGH,,,female,white,TOWN LT,MIDDLE A,,average,2,0,0,1,1,1,4,6.63,7.98,4.06,2.58,3.58,27.4,5.67,8,3.69,2.83,4.12,26.5,remove,fired,oppose,Can't be
$2000 TO,1972,299,KEEPING,,,,,No verba,,,widowed,25,no,,,,48,6,3,43,12,0,5,,HIGH SCH,LT HIGH,LT HIGH,,female,white,TOWN LT,MIDDLE A,,average,4,0,1,2,1,1,4,,,,,,,5.67,8,3.69,2.83,4.12,26.5,NOT REMO,fired,favor,Can't be
$4000 TO,1972,300,KEEPING,,,,,,,,married,18,no,other,265,47,48,6,1,56,7,0,0,6,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,MIDDLE A,,BELOW AV,2,0,0,0,2,1,4,,,,,,,5.67,8,3.69,2.83,4.12,26.5,NOT REMO,fired,favor,Can't be
$2000 TO,1972,301,KEEPING,,,,,No verba,,,separate,16,,,,,,6,7,36,11,,,,HIGH SCH,,,,female,black,TOWN LT,SOUTH AT,DIFFEREN,average,7,1,3,2,1,0,241,,,,,,,,,,,,,NOT REMO,,favor,Can't be
,1972,302,WORKING,984,18,769,Maids an,Verbatim,25,14,married,16,no,WORKING,441,45,17,1,6,47,6,,,12,LT HIGH,,,HIGH SCH,female,black,farm,SOUTH AT,"SAME ST,",BELOW AV,5,0,0,0,5,4,241,6.96,7.21,7.77,2.77,2.76,11.4,1.68,7.97,1.51,3.84,6.62,30.9,,,favor,Can't be
$8000 TO,1972,303,WORKING,690,32,379,Uncodeab,,,,married,21,no,WORKING,912,26,,7,2,29,14,6,3,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,black,CITY GT,SOUTH AT,SAME CIT,BELOW AV,4,2,0,0,2,2,241,6.84,8,4.18,2.34,3.43,29.9,5.79,7.85,4.81,2.83,3.62,22.7,remove,NOT FIRE,favor,Can't be
$8000 TO,1972,304,WORKING,392,36,317,Weighers,Verbatim,34,26,married,38,yes,KEEPING,,,17,2,2,60,12,,,8,HIGH SCH,,,LT HIGH,male,black,farm,SOUTH AT,DIFFEREN,BELOW AV,3,0,1,0,2,1,241,5.4,7.97,6.68,2,2.44,25.6,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,Can't be
$8000 TO,1972,305,WORKING,984,18,769,Maids an,Verbatim,25,14,married,23,no,retired,510,30,857,2,2,37,10,,,,LT HIGH,,,,female,black,CITY GT,SOUTH AT,SAME CIT,BELOW AV,2,0,0,0,2,1,241,6.96,7.21,7.77,2.77,2.76,11.4,5.79,7.85,4.81,2.83,3.62,22.7,NOT REMO,fired,favor,Can't be
$4000 TO,1972,306,WORKING,715,32,689,Driver/s,,35,29,married,18,no,KEEPING,,,857,7,1,20,12,,,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,black,CITY GT,SOUTH AT,SAME CIT,average,3,1,0,0,2,1,241,6.87,7.95,3.13,2.94,3.33,29.1,6.43,7.54,6.93,2.25,2.56,18.2,,NOT FIRE,oppose,Can't be
$8000 TO,1972,307,KEEPING,,,,,No verba,,,married,16,yes,WORKING,535,37,,7,EIGHT OR,55,9,,,,LT HIGH,,LT HIGH,LT HIGH,female,black,CITY GT,SOUTH AT,SAME CIT,average,6,1,0,2,3,1,241,,,,,,,,,,,,,remove,fired,,Can't be
LT $2000,1972,308,other,,,,,No verba,,,widowed,21,no,,,,17,5,7,71,,,,,LT HIGH,,,,female,black,TOWN LT,SOUTH AT,SAME CIT,FAR BELO,2,0,0,0,2,1,241,,,,,,,,,,,,,,,,CAN TRUS
$4000 TO,1972,309,WORKING,216,38,777,Janitors,Verbatim,24,15,married,20,no,WORKING,643,19,,6,2,30,11,,,12,HIGH SCH,,,HIGH SCH,male,black,CITY GT,SOUTH AT,SAME CIT,BELOW AV,4,1,1,0,2,1,241,1.44,5.43,7.51,3.82,6.39,41.5,,,,,,,NOT REMO,fired,favor,Can't be
$2000 TO,1972,310,KEEPING,612,26,268,Butchers,Verbatim,28,19,married,17,yes,retired,785,17,27,7,1,59,9,5,0,0,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,black,TOWN LT,SOUTH AT,DIFFEREN,FAR ABOV,2,0,0,0,2,0,2,6.63,7.98,4.06,2.58,3.58,27.4,6.42,7.86,5.21,2.41,3.35,16.8,remove,fired,favor,CAN TRUS
$8000 TO,1972,311,WORKING,694,32,387,Metal wo,Verbatim,44,47,separate,23,,,,,607,7,0,42,12,9,7,,HIGH SCH,LT HIGH,LT HIGH,,female,black,TOWN LT,SOUTH AT,SAME CIT,average,2,0,0,0,2,1,2,6.84,8,3.68,2.52,3.76,28.5,3.53,5.62,7.86,3.4,4.1,37.5,NOT REMO,fired,oppose,Can't be
$2000 TO,1972,312,KEEPING,984,18,769,Maids an,Verbatim,25,14,separate,19,,,,,17,7,EIGHT OR,55,11,5,5,,HIGH SCH,LT HIGH,LT HIGH,,female,black,TOWN LT,SOUTH AT,SAME CIT,BELOW AV,11,1,0,.b,2,1,2,6.96,7.21,7.77,2.77,2.76,11.4,6.61,7.97,4.74,2.53,3.75,10.8,remove,fired,favor,CAN TRUS
$2000 TO,1972,313,WORKING,902,12,268,Maids an,,25,14,married,21,no,KEEPING,,,68,7,0,24,12,6,7,10,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,male,black,TOWN LT,SOUTH AT,"SAME ST,",BELOW AV,2,0,0,0,2,1,2,6.43,7.54,6.93,2.25,2.56,18.2,6.89,8,6.48,1.4,1.7,9.3,NOT REMO,fired,favor,Can't be
LT $2000,1972,314,UNEMPL,374,29,268,Shipping,Verbatim,35,27,separate,24,,,,,108,7,0,30,7,2,3,,LT HIGH,LT HIGH,LT HIGH,,male,black,TOWN LT,SOUTH AT,SAME CIT,BELOW AV,2,0,0,0,2,1,2,4.19,7.6,7.07,3.02,3.62,32.3,6.95,8,5.5,1.96,3.02,13.8,NOT REMO,fired,favor,Can't be
$2000 TO,1972,315,WORKING,424,39,569,Crane an,Verbatim,47,53,NEVER MA,,,,,,17,7,0,70,0,0,2,,LT HIGH,LT HIGH,LT HIGH,,male,black,TOWN LT,SOUTH AT,SAME CIT,BELOW AV,1,0,0,0,1,1,2,6.89,8,2.91,2.84,4.56,31.8,6.61,7.97,4.74,2.53,3.75,10.8,remove,fired,favor,Can't be
$2000 TO,1972,316,KEEPING,984,18,769,Maids an,,25,14,widowed,14,yes,,,,,2,5,43,7,,7,,LT HIGH,,LT HIGH,,female,black,TOWN LT,SOUTH AT,SAME CIT,BELOW AV,3,0,2,0,1,0,2,6.96,7.21,7.77,2.77,2.76,11.4,,,,,,,NOT REMO,fired,favor,Can't be
$10000 T,1972,317,WORKING,561,42,187,Tool and,,38,31,married,24,no,KEEPING,664,32,268,5,0,45,11,,,8,LT HIGH,,,LT HIGH,male,white,50000 TO,NEW ENGL,SAME CIT,average,2,0,0,0,2,1,100,2.11,7.96,0.31,3.96,6.95,44.4,5.56,8,3.51,2.54,4.58,28,NOT REMO,fired,favor,Can't be
$8000 TO,1972,318,WORKING,181,60,338,Writers,Verbatim,67,91,married,24,no,WORKING,32,55,778,0,0,25,16,18,12,16,bachelor,graduate,HIGH SCH,bachelor,male,white,"COUNTRY,",NEW ENGL,DIFFEREN,ABOVE AV,2,0,0,0,2,2,100,0.58,7.84,8,5.63,7.63,68.5,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$2000 TO,1972,319,KEEPING,982,25,769,Maids an,Verbatim,25,14,divorced,22,,,,,17,7,1,37,0,0,0,,LT HIGH,LT HIGH,LT HIGH,,female,white,TOWN LT,foreign,DIFFEREN,FAR BELO,2,0,1,0,1,0,100,5.55,6.22,7.81,3.05,3.51,15.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$17500 T,1972,320,UNEMPL,605,39,67,Surveyin,Verbatim,34,25,NEVER MA,,,,,,857,4,0,22,14,15,12,,HIGH SCH,HIGH SCH,HIGH SCH,,male,white,50000 TO,NEW ENGL,SAME CIT,average,3,0,0,0,3,2,100,5.67,8,6.72,2.93,4.04,29.2,1.97,2.03,8,4.99,6.14,63.6,NOT REMO,NOT FIRE,favor,Can't be
$12500 T,1972,321,WORKING,690,32,999,Uncodeab,,,,NEVER MA,,,,,,289,4,0,27,8,8,,,LT HIGH,LT HIGH,LT HIGH,,female,white,50000 TO,NEW ENGL,SAME CIT,average,5,1,0,0,4,2,100,5.87,7.79,4.7,2.82,3.73,26.9,4.68,6.45,5.84,2.9,4.09,30.5,NOT REMO,fired,favor,Can't be
$17500 T,1972,322,WORKING,144,63,857,Elementa,Verbatim,61,85,NEVER MA,,,,,,228,6,0,28,18,10,10,,graduate,LT HIGH,LT HIGH,,female,white,50000 TO,NEW ENGL,SAME CIT,BELOW AV,2,0,0,0,2,2,100,1.9,2.02,8,4.99,6.96,62.7,3,7.81,1.25,3.91,7.28,43.4,NOT REMO,fired,favor,CAN TRUS
